Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
CRUISE LLC,AVDT005,5G21A6P09P4100088,0,0,0,0,0,0,0,0,0,0,218.91,970.91,304.44,1494.26
CRUISE LLC,AVDT005,5G21A6P04P4100080,0,0,0,0,0,0,0,0,0,0,0,814.09,701.07,1515.16
CRUISE LLC,AVDT005,5G21A6P01N4121661,0,0,0,0,0,0,0,0,195.8,369.6,747.53,194.02,0,1506.95
CRUISE LLC,AVDT005,5G21A6P08P4100082,0,0,0,0,0,0,0,0,0,0,0,539.66,914.44,1454.1
CRUISE LLC,AVDT005,5G21A6P02P4100062,0,0,0,0,0,0,0,0,0,0,87.36,708.47,557.7,1353.53
CRUISE LLC,AVDT005,5G21A6P08P4100079,0,0,0,0,0,0,0,0,0,0,428.5,976.96,0,1405.46
CRUISE LLC,AVDT005,5G21A6P0XN4121691,0,0,0,0,0,0,0,0,27.08,156.11,469.76,77.53,534.44,1264.92
CRUISE LLC,AVDT005,5G21A6P0XP4100049,0,0,0,0,0,0,0,0,0,0,294.22,209.79,837.85,1341.86
CRUISE LLC,AVDT005,5G21A6P09P4100110,0,0,0,0,0,0,0,0,0,0,80.61,885.43,262.88,1228.92
CRUISE LLC,AVDT005,5G21A6P08P4100101,0,0,0,0,0,0,0,0,0,0,0,143.49,877.25,1020.74
CRUISE LLC,AVDT005,5G21A6P00P4100111,0,0,0,0,0,0,0,0,0,0,0.25,364.55,753.52,1118.32
CRUISE LLC,AVDT005,5G21A6P00N4122106,0,0,0,0,0,0,0,0,0,0,178.08,0,976.99,1155.07
CRUISE LLC,AVDT005,5G21A6P09P4100060,0,0,0,0,0,0,0,0,0,0,292.5,342.23,571.48,1206.21
CRUISE LLC,AVDT005,5G21A6P06N4121655,0,0,0,0,0,0,0,0,0,44.75,171.58,442.75,475.94,1135.02
CRUISE LLC,AVDT005,5G21A6P01P4100067,0,0,0,0,0,0,0,0,0,0,313.5,793.81,0,1107.31
CRUISE LLC,AVDT005,5G21A6P04P4100077,0,0,0,0,0,0,0,0,0,0,0,127.45,869.91,997.36
CRUISE LLC,AVDT005,5G21A6P08N4121687,0,0,0,0,0,0,0,0,274.32,60.52,251.18,105.31,303.68,995.01
CRUISE LLC,AVDT005,5G21A6P07P4100123,0,0,0,0,0,0,0,0,0,0,0,0.01,1051.96,1051.97
CRUISE LLC,AVDT005,5G21A6P01P4100070,0,0,0,0,0,0,0,0,0,0,413.43,658.79,0,1072.22
CRUISE LLC,AVDT005,5G21A6P03P4100085,0,0,0,0,0,0,0,0,0,0,0,0,959.14,959.14
CRUISE LLC,AVDT005,5G21A6P03P4100071,0,0,0,0,0,0,0,0,0,0,0,583.49,436.32,1019.81
CRUISE LLC,AVDT005,5G21A6P09N4121682,0,0,0,0,0,0,0,0,0,234.13,497.61,339.95,0,1071.69
CRUISE LLC,AVDT005,5G21A6P02P4100112,0,0,0,0,0,0,0,0,0,0,0,0,922.58,922.58
CRUISE LLC,AVDT005,5G21A6P06P4103501,0,0,0,0,0,0,0,0,0,0,0,0,838.25,838.25
CRUISE LLC,AVDT005,5G21A6P08P4104679,0,0,0,0,0,0,0,0,0,0,0,0,836.12,836.12
CRUISE LLC,AVDT005,5G21A6P08P4103502,0,0,0,0,0,0,0,0,0,0,0,0,904.84,904.84
CRUISE LLC,AVDT005,5G21A6P08N4121690,0,0,0,0,0,0,0,0,94.52,0,0,0,810.04,904.56
CRUISE LLC,AVDT005,5G21A6P07N4121678,0,0,0,0,0,0,0,0,0,0,0,0,808.11,808.11
CRUISE LLC,AVDT005,5G21A6P02N4121684,0,0,0,0,0,0,0,0,113.71,0,0,0,681.52,795.23
CRUISE LLC,AVDT005,5G21A6P09P4100124,0,0,0,0,0,0,0,0,0,0,0,0,750.16,750.16
CRUISE LLC,AVDT005,5G21A6P04P4100094,0,0,0,0,0,0,0,0,0,0,0,84.52,648.62,733.14
CRUISE LLC,AVDT005,5G21A6P0XN4122100,0,0,0,0,0,0,0,0,113.53,0,634.24,34.81,0,782.58
CRUISE LLC,AVDT005,5G21A6P08P4100129,0,0,0,0,0,0,0,0,0,0,0,0,701.37,701.37
CRUISE LLC,AVDT005,5G21A6P08N4121656,0,0,0,0,0,0,0,0,184.84,50.59,313.94,124.64,0,674.01
CRUISE LLC,AVDT005,5G21A6P08P4102124,0,0,0,0,0,0,0,0,0,0,0,0,612.51,612.51
CRUISE LLC,AVDT005,5G21A6P08N4121625,0,0,0,0,0,0,0,0,0,0,0,0,656.46,656.46
CRUISE LLC,AVDT005,5G21A6P06P4100100,0,0,0,0,0,0,0,0,0,0,0,0,545.32,545.32
CRUISE LLC,AVDT005,5G21A6P06P4106107,0,0,0,0,0,0,0,0,0,0,0,0,600.71,600.71
CRUISE LLC,AVDT005,5G21A6P05P4100105,0,0,0,0,0,0,0,0,0,0,0,0,591.26,591.26
CRUISE LLC,AVDT005,5G21A6P09P4103508,0,0,0,0,0,0,0,0,0,0,0,0,480.57,480.57
CRUISE LLC,AVDT005,5G21A6P0XP4103503,0,0,0,0,0,0,0,0,0,0,0,0,553.85,553.85
CRUISE LLC,AVDT005,5G21A6P05P4100069,0,0,0,0,0,0,0,0,0,0,0,0,482.63,482.63
CRUISE LLC,AVDT005,5G21A6P03P4100104,0,0,0,0,0,0,0,0,0,0,0,0,557.97,557.97
CRUISE LLC,AVDT005,5G21A6P06N4121624,0,0,0,0,0,0,0,0,0,0,0,0,569.18,569.18
CRUISE LLC,AVDT005,5G21A6P02N4121698,0,0,0,0,0,0,0,0,49.4,70.97,241.49,133.32,0,495.18
CRUISE LLC,AVDT005,5G21A6P08P4106108,0,0,0,0,0,0,0,0,0,0,0,0,450.64,450.64
CRUISE LLC,AVDT005,5G21A6P05P4103506,0,0,0,0,0,0,0,0,0,0,0,0,461.47,461.47
CRUISE LLC,AVDT005,5G21A6P06N4121610,0,0,0,0,0,0,0,0,0,0,0,281.43,163.83,445.26
CRUISE LLC,AVDT005,5G21A6P0XN4121657,0,0,0,0,0,0,0,0,0,0,0,0,483.28,483.28
CRUISE LLC,AVDT005,5G21A6P0XP4100102,0,0,0,0,0,0,0,0,0,0,0,0,381.6,381.6
CRUISE LLC,AVDT005,5G21A6P09P4102133,0,0,0,0,0,0,0,0,0,0,0,0,460.28,460.28
CRUISE LLC,AVDT005,5G21A6P08P4100132,0,0,0,0,0,0,0,0,0,0,0,0,475.36,475.36
CRUISE LLC,AVDT005,5G21A6P01P4100117,0,0,0,0,0,0,0,0,0,0,0,0,405.3,405.3
CRUISE LLC,AVDT005,5G21A6P06P4103059,0,0,0,0,0,0,0,0,0,0,0,0,423.49,423.49
CRUISE LLC,AVDT005,5G21A6P05P4100072,0,0,0,0,0,0,0,0,0,0,0,0,454.99,454.99
CRUISE LLC,AVDT005,5G21A6P04P4104677,0,0,0,0,0,0,0,0,0,0,0,0,466.25,466.25
CRUISE LLC,AVDT005,5G21A6P03P4100118,0,0,0,0,0,0,0,0,0,0,0,0,425.33,425.33
CRUISE LLC,AVDT005,5G21A6P0XP4100133,0,0,0,0,0,0,0,0,0,0,0,0,343.46,343.46
CRUISE LLC,AVDT005,5G21A6P0XP4102125,0,0,0,0,0,0,0,0,0,0,0,0,414.98,414.98
CRUISE LLC,AVDT005,5G21A6P09P4100589,0,0,0,0,0,0,0,0,0,0,0,0,417.54,417.54
CRUISE LLC,AVDT005,5G21A6P06P4100050,0,0,0,0,0,0,0,0,0,0,0,0,349.71,349.71
CRUISE LLC,AVDT005,5G21A6P01P4106113,0,0,0,0,0,0,0,0,0,0,0,0,382.09,382.09
CRUISE LLC,AVDT005,5G21A6P02P4104676,0,0,0,0,0,0,0,0,0,0,0,0,353.26,353.26
CRUISE LLC,AVDT005,5G21A6P06P4100131,0,0,0,0,0,0,0,0,0,0,0,0,386.45,386.45
CRUISE LLC,AVDT005,5G21A6P04P4101682,0,0,0,0,0,0,0,0,0,0,0,0,366.86,366.86
CRUISE LLC,AVDT005,5G21A6P09P4100107,0,0,0,0,0,0,0,0,0,0,0,0,358.74,358.74
CRUISE LLC,AVDT005,5G21A6P0XP4100052,0,0,0,0,0,0,0,0,0,0,118.92,196.67,0,315.59
CRUISE LLC,AVDT005,5G21A6P07P4100591,0,0,0,0,0,0,0,0,0,0,0,0,322.6,322.6
CRUISE LLC,AVDT005,5G21A6P0XP4100083,0,0,0,0,0,0,0,0,0,0,0,0,296,296
CRUISE LLC,AVDT005,5G21A6P08P4106111,0,0,0,0,0,0,0,0,0,0,0,0,301.02,301.02
CRUISE LLC,AVDT005,5G21A6P07P4102132,0,0,0,0,0,0,0,0,0,0,0,0,247.55,247.55
CRUISE LLC,AVDT005,5G21A6P03P4100054,0,0,0,0,0,0,0,0,0,0,0,0,225.84,225.84
